#ID;MICE;TIME;DOSE;ADDL;II;TUMOR;YTV;w0
1;708;0;.;.;.;92.5;.;92.5
1;708;3;.;.;.;115.2;115.2;92.5
1;708;3;0;3;1;.;.;92.5
1;708;7;.;.;.;133.2;134.2;92.5
1;708;7;0;2;1;.;.;92.5
1;708;10;.;.;.;136.8;137.8;92.5
1;708;10;0;.;.;.;.;92.5
1;708;14;.;.;.;233.28;234.28;92.5
1;708;14;0;2;1;.;.;92.5
1;708;17;.;.;.;253.125;254.125;92.5
1;708;17;0;3;1;.;.;92.5
1;708;21;.;.;.;272.734;272.734;92.5
1;708;24;.;.;.;287.5565;287.5565;92.5
1;708;28;.;.;.;295.074;295.074;92.5
1;708;30;.;.;.;358.706;358.706;92.5
1;708;32;.;.;.;377.196;377.196;92.5
1;708;35;.;.;.;417.15;417.15;92.5
1;708;37;.;.;.;363.384;363.384;92.5
1;708;39;.;.;.;523.45;523.45;92.5
2;713;0;.;.;.;72;.;72
2;713;3;.;.;.;82.8345;82.8345;72
2;713;3;0;3;1;.;.;72
2;713;7;.;.;.;86.25;87.25;72
2;713;7;0;2;1;.;.;72
2;713;10;.;.;.;116.032;117.032;72
2;713;10;0;.;.;.;.;72
2;713;14;.;.;.;196.52;197.52;72
2;713;14;0;2;1;.;.;72
2;713;17;.;.;.;191.664;192.664;72
2;713;17;0;3;1;.;.;72
2;713;21;.;.;.;254.144;254.144;72
2;713;24;.;.;.;284.592;284.592;72
2;713;28;.;.;.;305.3435;305.3435;72
2;713;30;.;.;.;382.925;382.925;72
2;713;32;.;.;.;503.3815;503.3815;72
2;713;35;.;.;.;539.136;539.136;72
2;713;37;.;.;.;733.824;733.824;72
2;713;39;.;.;.;799.254;799.254;72
3;730;0;.;.;.;92.5;.;92.5
3;730;3;.;.;.;108.192;108.192;92.5
3;730;3;0;3;1;.;.;92.5
3;730;7;.;.;.;135.8165;136.8165;92.5
3;730;7;0;2;1;.;.;92.5
3;730;10;.;.;.;149.916;150.916;92.5
3;730;10;0;.;.;.;.;92.5
3;730;14;.;.;.;168.6825;169.6825;92.5
3;730;14;0;2;1;.;.;92.5
3;730;17;.;.;.;229.3655;230.3655;92.5
3;730;17;0;3;1;.;.;92.5
3;730;21;.;.;.;284.592;284.592;92.5
3;730;24;.;.;.;284.592;284.592;92.5
3;730;28;.;.;.;339.2;339.2;92.5
3;730;30;.;.;.;437.1125;437.1125;92.5
3;730;32;.;.;.;451.156;451.156;92.5
3;730;35;.;.;.;533.232;533.232;92.5
3;730;37;.;.;.;594.432;594.432;92.5
3;730;39;.;.;.;686.07;686.07;92.5
4;733;0;.;.;.;71.5;.;71.5
4;733;3;.;.;.;87.725;87.725;71.5
4;733;3;0;3;1;.;.;71.5
4;733;7;.;.;.;107.648;108.648;71.5
4;733;7;0;2;1;.;.;71.5
4;733;10;.;.;.;150.822;151.822;71.5
4;733;10;0;.;.;.;.;71.5
4;733;14;.;.;.;208.25;209.25;71.5
