,#ID,TIME in day,TUMOUR VOLUME in mm^3
0,40,0,191.808
1,94,0,77.2475
2,95,0,186.2
59,136,0,118.5885
60,140,0,79.3305
61,155,0,105.875
62,169,0,123.008
63,170,0,80.0565
153,140,2,126.852
152,169,2,128.774
148,155,2,167.706
147,136,2,175.071
137,95,2,246.42
136,40,2,249.158
156,170,2,94.221
157,94,2,88.4835
123,155,4,356.32800000000003
127,40,4,330.67199999999997
145,169,4,176.4
112,95,4,429.3
140,136,4,229.99200000000002
154,94,4,125.316
155,170,4,109.33
151,140,4,146.072
150,170,7,158.994
149,94,7,165.528
141,169,7,205.1665
135,140,7,261.121
101,95,7,624.26
97,40,7,668.367
130,136,7,302.6885
99,155,7,648.96
96,155,9,692.2239999999999
131,136,9,302.6885
93,95,9,724.672
84,40,9,915.008
144,94,9,189.486
146,170,9,176.157
139,169,9,246.0535
125,140,9,345.744
132,169,11,278.8425
124,140,11,355.2
133,94,11,264.654
120,136,11,370.44
92,155,11,730.08
91,95,11,730.08
143,170,11,194.0785
80,40,11,1119.258
87,155,14,816.48
142,170,14,204.1605
126,169,14,333.036
108,136,14,534.1545
83,95,14,919.6
76,40,14,1470.432
134,94,14,264.654
114,140,14,419.05
138,170,16,246.40200000000002
122,169,16,356.445
128,94,16,306.936
72,40,16,1669.2479999999998
98,136,16,651.688
79,95,16,1131.184
75,155,16,1494.954
109,140,16,480.298
69,40,18,1752.192
129,170,18,305.0865
105,140,18,556.668
94,136,18,721.2869999999999
71,95,18,1675.872
118,94,18,389.207
117,169,18,392.85
74,155,18,1516.6985
110,169,21,479.85900000000004
64,95,21,2346.616
89,136,21,787.32
121,170,21,368.3265
65,40,21,2276.736
119,94,21,389.207
88,140,21,808.992
70,155,21,1724.05
73,155,23,1637.7839999999999
85,140,23,857.304
86,136,23,852.9505
116,94,23,405.769
115,170,23,418.176
107,169,23,539.055
66,155,25,2251.08
113,94,25,426.4715
100,169,25,635.4195
82,140,25,1097.675
81,136,25,1104.558
111,170,25,439.6155
104,170,28,566.1555
68,140,28,1992.144
95,169,28,714.618
78,136,28,1132.88
106,94,28,555.131
77,136,30,1459.3425
103,94,30,576.24
90,169,30,746.9865
67,140,30,2122.5820000000003
102,170,30,620.6265
