,#ID,TIME VOLUME in day,TUMOUR VOLUME in cm^3,BODY WEIGHT in g,TIME CONC in day,CONC in mg/L,TIME DOSE in day,DOSE AMOUNT in mg
1050,167,0.0,1.95201,27.0,,,,
987,163,0.0,0.60025,24.0,,,,
628,129,0.0,0.75429,27.6,,,,
170,34,0.0,1.65292,27.7,,,,
548,122,0.0,1.0260200000000002,23.2,,,,
489,108,0.0,0.87808,25.8,,,,
390,91,0.0,1.2837450000000001,26.1,,,,
269,52,0.0,2.0535,24.5,,,,
502,108,2.0,1.07911,26.1,,,,
1000,163,2.0,0.7803,25.1,,,,
641,129,2.0,1.19164,28.8,,,,
561,122,2.0,1.47875,24.3,,,,
403,91,2.0,1.3581649999999998,25.4,,,,
282,52,2.0,1.91808,26.2,,,,
183,34,2.0,2.17328,26.9,,,,
1063,167,2.0,2.8880000000000003,27.4,,,,
640,129,4.0,1.38384,29.0,,,,
281,52,4.0,2.7884249999999997,25.2,,,,
401,91,4.0,2.22912,25.0,,,,
996,163,4.0,1.278,24.4,,,,
560,122,4.0,1.7859599999999998,23.6,,,,
182,34,4.0,2.9250000000000003,28.0,,,,
1062,167,4.0,3.41172,27.6,,,,
500,108,4.0,1.9282050000000002,25.1,,,,
402,91,7.0,2.04768,26.4,,,,
558,122,7.0,2.714835,23.5,,,,
639,129,7.0,1.488375,28.4,,,,
501,108,7.0,1.8567900000000002,25.3,,,,
181,34,7.0,3.892285,27.7,,,,
1061,167,7.0,5.692445,28.2,,,,
280,52,7.0,3.0180599999999997,25.8,,,,
997,163,7.0,1.19422,24.6,,,,
180,34,9.0,3.9611750000000003,27.9,,,,
559,122,9.0,2.714835,23.4,,,,
1059,167,9.0,6.0025,28.3,,,,
499,108,9.0,1.975815,25.1,,,,
400,91,9.0,2.43089,26.5,,,,
279,52,9.0,3.7945599999999997,25.9,,,,
638,129,9.0,1.607445,27.5,,,,
999,163,9.0,1.1774,24.6,,,,
995,163,11.0,1.35,23.4,,,,
1060,167,11.0,6.0025,26.6,,,,
557,122,11.0,3.065605,22.8,,,,
637,129,11.0,2.04723,26.5,,,,
179,34,11.0,5.71392,26.6,,,,
399,91,11.0,2.944,25.1,,,,
498,108,11.0,2.8160000000000003,24.7,,,,
278,52,11.0,5.2,24.9,,,,
497,108,14.0,3.2033850000000004,27.1,,,,
556,122,14.0,3.504125,24.6,,,,
993,163,14.0,1.7111250000000002,24.0,,,,
398,91,14.0,3.0180599999999997,25.8,,,,
1058,167,14.0,6.890625,26.6,,,,
178,34,14.0,5.95448,27.2,,,,
635,129,14.0,2.53125,28.2,,,,
277,52,14.0,6.296950000000001,25.5,,,,
998,163,16.0,1.19422,23.5,,,,
177,34,16.0,6.338640000000001,27.1,,,,
496,108,16.0,4.67046,27.1,,,,
276,52,16.0,7.464960000000001,26.4,,,,
636,129,16.0,2.26845,27.9,,,,
555,122,16.0,3.5870599999999997,23.5,,,,
1057,167,16.0,8.17216,27.4,,,,
397,91,16.0,3.49272,26.7,,,,
994,163,18.0,1.4030600000000002,23.6,,,,
176,34,18.0,8.1461,27.0,,,,
275,52,18.0,8.31744,25.6,,,,
495,108,18.0,4.9186250000000005,24.8,,,,
396,91,18.0,4.373819999999999,25.5,,,,
634,129,18.0,2.62848,27.5,,,,
1056,167,18.0,9.700285000000001,26.8,,,,
554,122,18.0,3.84592,22.6,,,,
553,122,21.0,4.9186250000000005,21.0,,,,
991,163,21.0,1.940785,24.0,,,,
274,52,21.0,9.3987,26.8,,,,
395,91,21.0,5.622769999999999,26.0,,,,
494,108,21.0,5.054,25.3,,,,
175,34,21.0,10.646125,27.0,,,,
633,129,21.0,4.125105,28.2,,,,
1055,167,21.0,10.944,28.7,,,,
1054,167,23.0,12.844000000000001,28.5,,,,
273,52,23.0,10.78125,26.7,,,,
632,129,23.0,5.234500000000001,29.0,,,,
174,34,23.0,11.966045,26.9,,,,
992,163,23.0,1.907825,24.0,,,,
552,122,23.0,5.3698749999999995,21.2,,,,
493,108,23.0,7.6835,24.6,,,,
394,91,23.0,7.947045000000001,26.5,,,,
272,52,25.0,11.304960000000001,27.6,,,,
1052,167,25.0,14.287679999999998,29.2,,,,
393,91,25.0,9.589855,25.2,,,,
492,108,25.0,9.12525,22.0,,,,
551,122,25.0,6.2,21.8,,,,
631,129,25.0,5.71392,29.1,,,,
173,34,25.0,13.68464,26.4,,,,
990,163,25.0,2.477985,25.1,,,,
989,163,28.0,3.444525,24.9,,,,
491,108,28.0,9.62948,21.9,,,,
550,122,28.0,7.23168,21.7,,,,
172,34,28.0,15.21,26.2,,,,
1053,167,28.0,14.14485,29.6,,,,
630,129,28.0,7.464960000000001,30.2,,,,
392,91,28.0,11.82762,25.1,,,,
271,52,28.0,12.28392,27.9,,,,
1051,167,30.0,20.83401,28.9,,,,
490,108,30.0,10.19592,22.6,,,,
391,91,30.0,12.016105,25.0,,,,
270,52,30.0,13.797420000000002,27.0,,,,
549,122,30.0,7.425625,22.1,,,,
988,163,30.0,4.51497,26.0,,,,
629,129,30.0,7.603839999999999,30.0,,,,
171,34,30.0,16.185435000000002,27.0,,,,
141,52,,,25.9,9.995833333,0.008060000000000001,,
187,108,,,25.1,10.01041667,2.38,,
118,34,,,27.9,10.01875,3.5,,
164,91,,,26.5,10.04375,4.34,,
233,129,,,27.5,10.10347222,2.27,,
210,122,,,23.4,10.20833333,0.8280000000000001,,
256,163,,,23.4,10.41527778,1.35,,
281,167,,,26.6,11.00208333,0.000952,,
123,34,,,27.1,15.99375,0.000952,,
263,163,,,23.5,16.01111111,3.14,,
286,167,,,27.4,16.02291667,3.0,,
217,122,,,23.5,16.04097222,3.54,,
171,91,,,26.7,16.10277778,1.97,,
240,129,,,27.9,16.20972222,1.07,,
194,108,,,27.1,16.41666667,0.326,,
148,52,,,26.4,16.99930556,0.000952,,
0,163,,,25.1,,,3.0,0.625
1,108,,,26.1,,,3.0,0.65
2,122,,,24.3,,,3.0,0.6
3,91,,,25.4,,,3.0,0.625
4,167,,,27.4,,,3.0,0.675
5,52,,,26.2,,,3.0,0.65
6,129,,,28.8,,,3.0,0.725
7,34,,,26.9,,,3.0,0.675
15,52,,,25.2,,,4.0,0.625
13,163,,,24.4,,,4.0,0.6
12,129,,,29.0,,,4.0,0.725
14,108,,,25.1,,,4.0,0.625
10,167,,,27.6,,,4.0,0.7000000000000001
9,34,,,28.0,,,4.0,0.7000000000000001
8,122,,,23.6,,,4.0,0.6
11,91,,,25.0,,,4.0,0.625
105,52,,,25.2,,,5.0,0.625
84,122,,,23.6,,,5.0,0.6
98,91,,,25.0,,,5.0,0.625
63,163,,,24.4,,,5.0,0.6
77,34,,,28.0,,,5.0,0.7000000000000001
91,108,,,25.1,,,5.0,0.625
70,129,,,29.0,,,5.0,0.725
56,167,,,27.6,,,5.0,0.7000000000000001
71,129,,,29.0,,,6.0,0.725
78,34,,,28.0,,,6.0,0.7000000000000001
64,163,,,24.4,,,6.0,0.6
85,122,,,23.6,,,6.0,0.6
57,167,,,27.6,,,6.0,0.7000000000000001
92,108,,,25.1,,,6.0,0.625
99,91,,,25.0,,,6.0,0.625
106,52,,,25.2,,,6.0,0.625
23,129,,,28.4,,,7.0,0.7000000000000001
22,52,,,25.8,,,7.0,0.65
20,167,,,28.2,,,7.0,0.7000000000000001
19,122,,,23.5,,,7.0,0.6
18,34,,,27.7,,,7.0,0.7000000000000001
17,108,,,25.3,,,7.0,0.625
16,163,,,24.6,,,7.0,0.625
21,91,,,26.4,,,7.0,0.65
107,52,,,25.8,,,8.0,0.65
79,34,,,27.7,,,8.0,0.7000000000000001
86,122,,,23.5,,,8.0,0.6
58,167,,,28.2,,,8.0,0.7000000000000001
65,163,,,24.6,,,8.0,0.625
72,129,,,28.4,,,8.0,0.7000000000000001
100,91,,,26.4,,,8.0,0.65
93,108,,,25.3,,,8.0,0.625
31,91,,,26.5,,,9.0,0.675
30,163,,,24.6,,,9.0,0.625
28,129,,,27.5,,,9.0,0.7000000000000001
27,122,,,23.4,,,9.0,0.5750000000000001
26,52,,,25.9,,,9.0,0.65
25,167,,,28.3,,,9.0,0.7000000000000001
24,108,,,25.1,,,9.0,0.625
29,34,,,27.9,,,9.0,0.7000000000000001
66,163,,,24.6,,,10.0,0.625
101,91,,,26.5,,,10.0,0.675
80,34,,,27.9,,,10.0,0.7000000000000001
73,129,,,27.5,,,10.0,0.7000000000000001
108,52,,,25.9,,,10.0,0.65
87,122,,,23.4,,,10.0,0.5750000000000001
94,108,,,25.1,,,10.0,0.625
59,167,,,28.3,,,10.0,0.7000000000000001
39,167,,,26.6,,,11.0,0.675
38,163,,,23.4,,,11.0,0.5750000000000001
37,91,,,25.1,,,11.0,0.625
35,108,,,24.7,,,11.0,0.625
