,#ID,TIME VOLUME in day,TUMOUR VOLUME in cm^3,BODY WEIGHT in g,TIME CONC in day,CONC in mg/L,TIME DOSE in day,DOSE AMOUNT in mg
145,31,0.0,1.64152,27.0,,,,
966,162,0.0,1.03488,25.6,,,,
945,161,0.0,1.0260200000000002,24.4,,,,
809,139,0.0,0.862125,22.7,,,,
670,131,0.0,1.043625,25.8,,,,
527,119,0.0,1.120905,22.2,,,,
449,98,0.0,1.8329849999999999,27.1,,,,
184,38,0.0,0.395035,27.2,,,,
958,161,2.0,1.19422,24.8,,,,
822,139,2.0,1.0617050000000001,23.5,,,,
681,131,2.0,2.19375,26.4,,,,
540,119,2.0,1.49916,22.3,,,,
462,98,2.0,2.69001,28.0,,,,
204,38,2.0,0.8427,27.3,,,,
162,31,2.0,1.91558,21.1,,,,
979,162,2.0,1.30977,26.1,,,,
957,161,4.0,2.34476,24.8,,,,
821,139,4.0,2.0535,22.5,,,,
680,131,4.0,2.9852550000000004,24.5,,,,
978,162,4.0,1.536,25.2,,,,
539,119,4.0,1.69984,22.1,,,,
461,98,4.0,3.746655,27.0,,,,
161,31,4.0,4.5125,25.4,,,,
203,38,4.0,1.206,26.7,,,,
460,98,7.0,4.93056,26.8,,,,
538,119,7.0,2.10392,21.8,,,,
160,31,7.0,4.78325,25.5,,,,
956,161,7.0,3.3651800000000005,25.2,,,,
679,131,7.0,5.18616,24.8,,,,
820,139,7.0,3.5574300000000005,22.6,,,,
202,38,7.0,1.56816,26.9,,,,
976,162,7.0,2.2032,24.3,,,,
159,31,9.0,4.8735,26.8,,,,
678,131,9.0,5.95448,25.5,,,,
819,139,9.0,3.807,22.8,,,,
459,98,9.0,5.87826,27.2,,,,
955,161,9.0,4.898040000000001,25.7,,,,
977,162,9.0,2.2032,24.5,,,,
201,38,9.0,2.02176,27.1,,,,
537,119,9.0,2.352,22.8,,,,
158,31,11.0,5.684580000000001,25.3,,,,
975,162,11.0,2.371405,22.6,,,,
954,161,11.0,6.08634,23.9,,,,
458,98,11.0,6.961365,25.9,,,,
200,38,11.0,2.12544,26.8,,,,
536,119,11.0,3.94944,21.1,,,,
677,131,11.0,8.048160000000001,23.3,,,,
818,139,11.0,4.05,21.7,,,,
953,161,14.0,6.34644,25.5,,,,
817,139,14.0,6.43552,22.9,,,,
157,31,14.0,7.366219999999999,26.6,,,,
199,38,14.0,2.64654,27.2,,,,
974,162,14.0,2.8899000000000004,24.0,,,,
676,131,14.0,8.96724,24.5,,,,
457,98,14.0,7.80275,27.0,,,,
535,119,14.0,4.198130000000001,21.6,,,,
972,162,16.0,3.36,24.7,,,,
534,119,16.0,4.237735,22.1,,,,
816,139,16.0,6.9984,23.8,,,,
198,38,16.0,3.22752,27.1,,,,
675,131,16.0,9.29214,25.0,,,,
952,161,16.0,8.107000000000001,26.1,,,,
456,98,16.0,8.860750000000001,27.5,,,,
156,31,16.0,8.98098,27.8,,,,
815,139,18.0,8.107000000000001,23.4,,,,
197,38,18.0,3.94944,26.8,,,,
532,119,18.0,4.396155,21.5,,,,
455,98,18.0,9.329080000000001,25.7,,,,
951,161,18.0,9.12525,25.4,,,,
973,162,18.0,3.36,23.4,,,,
155,31,18.0,12.92832,27.6,,,,
674,131,18.0,11.116385000000001,24.2,,,,
454,98,21.0,10.716480000000002,25.6,,,,
950,161,21.0,13.203125,27.0,,,,
531,119,21.0,4.594180000000001,23.3,,,,
814,139,21.0,11.907200000000001,24.0,,,,
969,162,21.0,4.903980000000001,24.2,,,,
196,38,21.0,5.410175000000001,29.1,,,,
154,31,21.0,16.17408,27.6,,,,
673,131,21.0,13.604500000000002,25.8,,,,
533,119,23.0,4.39002,22.2,,,,
949,161,23.0,13.91868,26.3,,,,
813,139,23.0,14.12964,23.7,,,,
153,31,23.0,20.563920000000003,27.7,,,,
195,38,23.0,6.45048,28.7,,,,
453,98,23.0,11.271105,26.0,,,,
672,131,23.0,16.28262,25.9,,,,
971,162,23.0,4.2527,24.5,,,,
970,162,25.0,4.32666,24.5,,,,
671,131,25.0,18.86466,25.8,,,,
194,38,25.0,7.0304,28.6,,,,
812,139,25.0,14.609375,24.3,,,,
452,98,25.0,14.488875,26.0,,,,
530,119,25.0,5.92012,22.6,,,,
948,161,25.0,16.391385,26.6,,,,
451,98,28.0,14.671125,27.6,,,,
529,119,28.0,8.7723,23.0,,,,
947,161,28.0,19.12779,27.6,,,,
968,162,28.0,5.8500000000000005,25.3,,,,
811,139,28.0,20.757935000000003,23.8,,,,
193,38,28.0,8.05792,29.3,,,,
810,139,30.0,23.597420000000003,23.7,,,,
967,162,30.0,6.517665,25.9,,,,
528,119,30.0,9.12525,23.8,,,,
946,161,30.0,21.56544,27.8,,,,
450,98,30.0,16.184,27.6,,,,
192,38,30.0,10.02472,30.2,,,,
412,139,,,22.8,9.992361111000001,0.000952,,
435,161,,,23.9,10.01041667,0.551,,
391,131,,,23.3,10.01944444,1.29,,
368,119,,,21.1,10.04305556,1.05,,
302,31,,,25.3,10.10347222,0.848,,
345,98,,,25.9,10.20833333,0.17500000000000002,,
458,162,,,22.6,10.41180556,0.055700000000000006,,
324,38,,,26.8,11.0,0.000952,,
440,161,,,26.1,15.99791667,0.000952,,
398,131,,,25.0,16.01041667,1.37,,
375,119,,,22.1,16.02222222,1.97,,
309,31,,,27.8,16.04027778,1.24,,
329,38,,,27.1,16.10208333,1.29,,
465,162,,,24.7,16.2125,0.107,,
352,98,,,27.5,16.41805556,0.032799999999999996,,
419,139,,,23.8,16.99375,0.000952,,
0,31,,,21.1,,,3.0,0.13125
1,139,,,23.5,,,3.0,0.15
2,38,,,27.3,,,3.0,0.16875
3,161,,,24.8,,,3.0,0.15625
4,98,,,28.0,,,3.0,0.17500000000000002
5,162,,,26.1,,,3.0,0.1625
6,131,,,26.4,,,3.0,0.1625
7,119,,,22.3,,,3.0,0.1375
15,161,,,24.8,,,4.0,0.15625
13,38,,,26.7,,,4.0,0.16875
12,31,,,25.4,,,4.0,0.15625
14,162,,,25.2,,,4.0,0.15625
10,139,,,22.5,,,4.0,0.14375000000000002
9,119,,,22.1,,,4.0,0.1375
8,98,,,27.0,,,4.0,0.16875
11,131,,,24.5,,,4.0,0.15625
105,38,,,26.7,,,5.0,0.16875
84,131,,,24.5,,,5.0,0.15625
98,98,,,27.0,,,5.0,0.16875
63,162,,,25.2,,,5.0,0.15625
77,139,,,22.5,,,5.0,0.14375000000000002
91,119,,,22.1,,,5.0,0.1375
70,161,,,24.8,,,5.0,0.15625
56,31,,,25.4,,,5.0,0.15625
71,161,,,24.8,,,6.0,0.15625
78,139,,,22.5,,,6.0,0.14375000000000002
64,162,,,25.2,,,6.0,0.15625
85,131,,,24.5,,,6.0,0.15625
57,31,,,25.4,,,6.0,0.15625
92,119,,,22.1,,,6.0,0.1375
99,98,,,27.0,,,6.0,0.16875
106,38,,,26.7,,,6.0,0.16875
23,31,,,25.5,,,7.0,0.1625
22,161,,,25.2,,,7.0,0.15625
20,139,,,22.6,,,7.0,0.14375000000000002
19,119,,,21.8,,,7.0,0.1375
18,162,,,24.3,,,7.0,0.15
17,98,,,26.8,,,7.0,0.16875
16,131,,,24.8,,,7.0,0.15625
21,38,,,26.9,,,7.0,0.16875
107,38,,,26.9,,,8.0,0.16875
79,139,,,22.6,,,8.0,0.14375000000000002
86,131,,,24.8,,,8.0,0.15625
58,31,,,25.5,,,8.0,0.1625
65,162,,,24.3,,,8.0,0.15
72,161,,,25.2,,,8.0,0.15625
100,98,,,26.8,,,8.0,0.16875
93,119,,,21.8,,,8.0,0.1375
31,38,,,27.1,,,9.0,0.16875
30,98,,,27.2,,,9.0,0.16875
28,131,,,25.5,,,9.0,0.1625
27,119,,,22.8,,,9.0,0.14375000000000002
26,161,,,25.7,,,9.0,0.1625
25,139,,,22.8,,,9.0,0.14375000000000002
24,162,,,24.5,,,9.0,0.15625
29,31,,,26.8,,,9.0,0.16875
66,162,,,24.5,,,10.0,0.15625
101,98,,,27.2,,,10.0,0.16875
80,139,,,22.8,,,10.0,0.14375000000000002
73,161,,,25.7,,,10.0,0.1625
108,38,,,27.1,,,10.0,0.16875
87,131,,,25.5,,,10.0,0.1625
94,119,,,22.8,,,10.0,0.14375000000000002
59,31,,,26.8,,,10.0,0.16875
39,119,,,21.1,,,11.0,0.13125
38,162,,,22.6,,,11.0,0.14375000000000002
37,31,,,25.3,,,11.0,0.15625
35,131,,,23.3,,,11.0,0.14375000000000002
34,38,,,26.8,,,11.0,0.16875
33,98,,,25.9,,,11.0,0.1625
32,139,,,21.7,,,11.0,0.1375
36,161,,,23.9,,,11.0,0.15
81,139,,,21.7,,,12.0,0.1375
88,131,,,23.3,,,12.0,0.14375000000000002
109,38,,,26.8,,,12.0,0.16875
95,119,,,21.1,,,12.0,0.13125
67,162,,,22.6,,,12.0,0.14375000000000002
102,98,,,25.9,,,12.0,0.1625
74,161,,,23.9,,,12.0,0.15
60,31,,,25.3,,,12.0,0.15625
89,131,,,23.3,,,13.0,0.14375000000000002
103,98,,,25.9,,,13.0,0.1625
75,161,,,23.9,,,13.0,0.15
110,38,,,26.8,,,13.0,0.16875
61,31,,,25.3,,,13.0,0.15625
68,162,,,22.6,,,13.0,0.14375000000000002
82,139,,,21.7,,,13.0,0.1375
96,119,,,21.1,,,13.0,0.13125
47,131,,,24.5,,,14.0,0.15625
46,98,,,27.0,,,14.0,0.16875
45,119,,,21.6,,,14.0,0.1375
44,139,,,22.9,,,14.0,0.14375000000000002
43,161,,,25.5,,,14.0,0.1625
42,38,,,27.2,,,14.0,0.16875
41,31,,,26.6,,,14.0,0.16875
40,162,,,24.0,,,14.0,0.15
104,98,,,27.0,,,15.0,0.16875
111,38,,,27.2,,,15.0,0.16875
90,131,,,24.5,,,15.0,0.15625
83,139,,,22.9,,,15.0,0.14375000000000002
76,161,,,25.5,,,15.0,0.1625
69,162,,,24.0,,,15.0,0.15
62,31,,,26.6,,,15.0,0.16875
97,119,,,21.6,,,15.0,0.1375
54,31,,,27.8,,,16.0,0.17500000000000002
53,131,,,25.0,,,16.0,0.15625
52,38,,,27.1,,,16.0,0.16875
51,162,,,24.7,,,16.0,0.15625
50,139,,,23.8,,,16.0,0.15
49,161,,,26.1,,,16.0,0.1625
48,119,,,22.1,,,16.0,0.1375
55,98,,,27.5,,,16.0,0.17500000000000002
